Source	Author	Title	Description	PublishedAt	URL	coding	coverage
TechCrunch	Tim De Chant	What’s next for the startup-friendly Inflation Reduction Act | TechCrunch	"While Trump's administration is unlikely to be supportive of certain climate tech startups, it will have a harder time ending the broadly popular law."	2024-11-06T16:00:34Z	https://techcrunch.com/2024/11/06/how-trumps-election-could-affect-the-startup-friendly-inflation-reduction-act/	Policies	Negative
USA Today	"Karissa Waddick, USA TODAY"	"Aliens, North Korea, election interference: Takeaways from Trump's Rogan appearance"	"Donald Trump's nearly three hour appearance on ""The Joe Rogan Experience"" was aimed at targeting young, male voters."	2024-10-26T17:14:12Z	https://www.usatoday.com/story/news/politics/elections/2024/10/26/joe-rogan-donald-trump-aliens-north-korea/75864009007/	Election	Neutral
Fox News	Ryan Morik	Woman runs onto Steelers' field with pro-Trump sign as former president attends game	"With former President Donald Trump in attendance, a woman ran onto the field during Sunday night's Pittsburgh Steelers-New York Jets game with a pro-Trump sign."	2024-10-21T12:43:37Z	https://www.foxnews.com/sports/woman-runs-onto-steelers-field-pro-trump-sign-former-president-attends-game	Cultural Impact	Neutral
Financial Post	Bloomberg News	U.S. dollar hits one-year high as Trump clinches election victory	The United States dollar rose to the strongest level in a year as Donald Trump won the race for the presidency. Find out more.	2024-11-06T12:41:29Z	https://financialpost.com/news/economy/us-dollar-trump-election-victory	Economy	Positive
CBC News		"As it loses ground to Russia, Ukraine greets Trump win with public praise and private worry"	"Among the first world leaders to publicly react to Donald Trump's latest electoral victory was Ukraine's President Volodymyr Zelenskyy, who praised his win and applauded what he described as Trump's commitment to achieving ""peace through strength."" But Ukrain…"	2024-11-06T16:53:31Z	https://www.cbc.ca/news/ukraine-trump-win-russia-war-1.7375206	Cultural Impact	Neutral
Gizmodo.com	Lucas Ropek	Justice Department Says It Has Received Complaints About Elon Musk’s $1 Million Payments to Voters	Is the tech billionaire breaking the law? We may soon find out.	2024-10-22T19:45:43Z	https://gizmodo.com/justice-department-says-it-has-received-complaints-about-elon-musks-1-million-payments-to-voters-2000515069	Legal Issues	Neutral
Buzzfeed	Ashley Holt	"People Are Praising ""The View"" Host Sunny Hostin For Defending Puerto Rico After A Comedian Called It ""Garbage"" At Trump's Rally"	"""We know how to take the trash out, Donald Trump. Trash that has been collecting since 2016. And that’s you, Donald Trump.""View Entire Post ›"	2024-10-28T21:06:20Z	https://www.buzzfeed.com/ashleyholt1/sunny-hostin-defends-puerto-rico	Cultural Impact	Neutral
Yahoo Entertainment	Jennifer Epstein and Josh Wingrove	"Harris Plans ‘Freedom’ Rally, Trump Courts Men in Final Push"	(Bloomberg) -- The campaign for the US presidency enters its final week with Vice President Kamala Harris and former President Donald Trump locked in a...	2024-10-28T12:44:52Z	https://www.yahoo.com/news/harris-plans-freedom-rally-trump-124452139.html	Election	Negative
Breitbart News	"Breitbart News, Breitbart News"	"Watch Live: Donald Trump Holds Rally in Novi, Michigan"	"Former President Donald Trump speaks to supporters at a rally in Novi, Michigan, on Saturday, October 26.
The post Watch Live: Donald Trump Holds Rally in Novi, Michigan appeared first on Breitbart."	2024-10-26T17:04:15Z	https://www.breitbart.com/2024-election/2024/10/26/watch-live-donald-trump-holds-rally-in-novi-michigan/	Election	Neutral
Wired	"Tess Owen, Dell Cameron"	US Intel Says Insider Threats Are 'Likely' During the Election	A government memo viewed by WIRED states that insider threats “could derail or jeopardize a fair and transparent election process.”	2024-10-28T13:00:00Z	https://www.wired.com/story/insider-threats-election/	Legal Issues	Negative
Fortune	Marco Quiroz-Gutierrez	Billionaire Ken Griffin says ‘the expectation today is that Donald Trump will win the White House’	Trump and Vice President Kamala Harris are in a dead heat with one week until Election Day.	2024-10-30T10:21:00Z	https://fortune.com/2024/10/30/ken-griffin-citadel-donald-trump-presidential-election-politics/	Election	Negative
TechCrunch	Amanda Silberling	Trump included Elon Musk on call with Zelenskyy | TechCrunch	"President-elect Donald Trump looped in Elon Musk on his phone call with Ukraine's President Volodymyr Zelenskyy on Wednesday, according to Axios. As one"	2024-11-08T18:32:46Z	https://techcrunch.com/2024/11/08/trump-included-elon-musk-on-call-with-zelenskyy/	Election	Neutral
BBC News		"US Secret Service has 'deep flaws' and must overhaul leadership, report says"	An independent panel reviewing the shooting at Donald Trump's rally calls for the agency to overhaul its leadership.	2024-10-17T14:49:43Z	https://www.bbc.com/news/articles/c04p620xy47o	Legal Issues	Positive
NPR	Deepa Shivaram	BeyHive meets KHive: Beyonce set to perform at Houston rally for Harris	Vice President Harris will have a special guest at her rally in Houston on Friday: Beyonce.	2024-10-24T15:13:36Z	https://www.npr.org/2024/10/24/nx-s1-5163312/beyonce-kamala-harris-houston	Election	Neutral
Newsweek	https://www.facebook.com/realjoshhammer	"Donald Trump, Class Traitor Par Excellence | Opinion"	"Once upon a time, Democrats were the working-class party in America. Those days are long over."	2024-10-25T10:00:01Z	https://www.newsweek.com/donald-trump-class-traitor-par-excellence-opinion-1974626	Cultural Impact	Neutral
CBS News	Alain Sherter	"Donald Trump election win boosts stocks, cryptocurrency and Trump Media"	Stocks and cryptocurrency prices set to power higher after Donald Trump is projected winner in U.S. presidential election.	2024-11-06T14:00:55Z	https://www.cbsnews.com/news/donald-trump-election-win-stocks-cryptocurrency-trump-media/	Economy	Positive
NBC News	Elizabeth Robinson	Trump's potential Supreme Court impact and racist text messages about picking cotton: Morning Rundown	Republicans are looking ahead at the possibility of Donald Trump appointing more Supreme Court justices.	2024-11-08T12:16:16Z	https://www.nbcnews.com/news/trumps-supreme-court-impact-texts-picking-cotton-morning-rundown-rcna179266	Cultural Impact	Negative
Time	Donovan McAbee	My Christian Faith Won’t Let Me Vote for Donald Trump or His Disciples	"In Trump, Evangelicals have found a candidate who allows to foment hate, all in the name of God, writes Donovan McAbee."	2024-10-28T11:00:00Z	https://time.com/7098605/christian-faith-donald-trump-vote-essay/	Cultural Impact	Neutral
TechCrunch	Sarah Perez	"‘For You’ feeds fail on election night, offering outdated information, angering users"	"“For You” algorithms that promote the most interesting content across a social network, personalized to the individual user, offered a disjointed, outdated, and nearly unusable experience on election night in the U.S. as they highlighted hours-old posts that …"	2024-11-06T15:49:06Z	https://techcrunch.com/2024/11/06/for-you-feeds-fail-on-election-night-offering-outdated-information-angering-users/	Cultural Impact	Negative
Buzzfeed	Alexa Lisitza	Donald Trump Serving Fries At McDonald's Has Become One Of This Year's Most Unexpected Memes	I'm going to tell my grandchildren that this is the Hamburglar.View Entire Post ›	2024-10-21T16:43:26Z	https://www.buzzfeed.com/alexalisitza/donald-trump-mcdonalds-meme	Cultural Impact	Negative
USA Today	"Chris Ullery, Bucks County Courier Times"	'This video is fake': Pennsylvania officials say viral video of destroyed ballots for Trump a hoax	"A video depicting mail ballots for former President Donald Trump being destroyed is being investigated as a hoax by law enforcement, officials said."	2024-10-24T23:28:25Z	https://www.usatoday.com/story/news/politics/elections/2024/10/24/pennsylvania-fake-ballot-video-trump-harris-2024/75831662007/	Legal Issues	Negative
Business Insider	Polly Thompson	Elon Musk hits the campaign trail in a key swing state after donating $75 million to a pro-Trump super PAC	Elon Musk is giving a series of events in Pennsylvania this week. The Tesla and SpaceX CEO has donated more than $75 million to a pro-Trump super PAC.	2024-10-16T13:22:18Z	https://www.businessinsider.com/elon-musk-campaign-trail-pennsylvania-donald-trump-key-swing-state-2024-10	Election	Negative
Fox News	Fox News Staff	Kellyanne Conway: Donald Trump is rising from the ashes. Here's why Trump 2016 is Trump 2024	Fox News contributor Kellyanne Conway dissects where things stand just days away from Election Day on Fox Nation’s ‘Here’s the Deal.’	2024-10-31T01:59:30Z	https://www.foxnews.com/media/kellyanne-conway-donald-trump-rising-from-ashes-heres-why-trump-2016-trump-2024	Cultural Impact	Positive
Business Insider	"Natalie Musumeci,Brent D. Griffiths"	Trump complains to judge that Kamala Harris has used Jack Smith's evidence in ads	Donald Trump is fighting to delay yet another release of more of prosecutors' evidence in the 2020 election interference case against him.	2024-10-17T18:00:32Z	https://www.businessinsider.com/trump-kamala-harris-election-interference-case-jack-smith-ads-02024-10	Legal Issues	Neutral
Buzzfeed	Matt Stopera	9 Celebrities Who Have Endorsed Donald Trump In The Past Month	From wrestlers to race car drivers.View Entire Post ›	2024-10-24T17:58:06Z	https://www.buzzfeed.com/mjs538/trump-endorsements-october	Election	Neutral
Fast Company	Chris Stokel-Walker	How long will Elon Musk and Donald Trump’s lovefest last?	"Two massive egos and two idiosyncratic entrepreneurs have joined forces. That’s not always a recipe for success.

The bromance between Donald Trump and Elon Musk is one of the strangest outcomes of the 2024 presidential election cycle, with Musk stumping for …"	2024-11-13T18:45:00Z	https://www.fastcompany.com/91228113/how-long-will-elon-musk-and-donald-trumps-lovefest-last	Cultural Impact	Neutral
Wired	Emily Mullin	States’ Abortion Rights Wins May Be Short-Lived Under a Second Trump Term	"More than two years after a historic Supreme Court decision ended the national right to an abortion, some states are fighting back—but the future of abortion rights remains in doubt."	2024-11-06T19:32:16Z	https://www.wired.com/story/donald-trump-win-seven-states-vote-abortion-rights/	Policies	Negative
CBC News		"Puerto Rican artists, politicians angered by insults hurled at island at Trump rally"	"Bad Bunny threw his support behind Vice-President Kamala Harris on Sunday shortly after a comedian at Donald Trump's Madison Square Garden rally made crude jokes about Latinos and called Puerto Rico a ""floating island of garbage,"" angering Hispanic members of…"	2024-10-28T12:53:13Z	https://www.cbc.ca/news/world/puerto-rico-trump-rally-1.7365325	Election	Negative
The New Yorker	John Cassidy	What Would Donald Trump Do to the Economy?	"John Cassidy writes about the potential economic impact of a second Trump Presidency, including the possibility of a trade war, higher prices, labor shortages, and more."	2024-10-21T10:00:00Z	https://www.newyorker.com/news/the-financial-page/what-would-donald-trump-do-to-the-economy	Economy	Negative
Fox News	Liz Peek	Three reasons Trump triumphed	Donald Trump just accomplished the most stunning political comeback in American history.	2024-11-06T14:31:59Z	https://www.foxnews.com/opinion/three-reasons-trump-triumphed	Election	Neutral
Daringfireball.net	John Gruber	★ Profiles in Cowardice: Owner Jeff Bezos and Publisher William Lewis of The Washington Post	Liberal newspapers breaking tradition to not endorse anyone is *worse* than if their owners had forced them to endorse Trump instead.	2024-10-27T02:20:09Z	https://daringfireball.net/2024/10/profiles_in_cowardice_bezos_lewis_washington_post	Cultural Impact	Negative
Financial Post	Financial Times	Billionaire hedge fund manager lines himself up for U.S. treasury secretary role	"Scott Bessent, a top fundraiser for Donald Trump, is looking for his deputy as he looks to become the U.S. treasury secretary. Read more."	2024-11-07T14:31:39Z	https://financialpost.com/financial-times/billionaire-hedge-fund-manager-us-treasury-secretary-role	Election	Negative
